SaveData[0], 0x0378,
SaveData[1], 0x038D,
SaveData[2], 0x039C,
SaveData[3], 0x0394,
SaveData[4], 0x039C,
SaveData[5], 0x0390,
SaveData[6], 0x03A4,
SaveData[7], 0x038E,
SaveData[8], 0x03BF,
SaveData[9], 0x0396,
SaveData[10], 0x03AC,
SaveData[11], 0x039E,
SaveData[12], 0x03A4,
SaveData[13], 0x0394,
SaveData[14], 0x039E,
SaveData[15], 0x0399,
SaveData[16], 0x038E,
SaveData[17], 0x0397,
SaveData[18], 0x038A,
SaveData[19], 0x0399,
SaveData[20], 0x038A,
SaveData[21], 0x039F,
SaveData[22], 0x038F,
SaveData[23], 0x03A2,
SaveData[24], 0x0392,
SaveData[25], 0x03A8,
SaveData[26], 0x0396,
SaveData[27], 0x03AA,
SaveData[28], 0x0390,
SaveData[29], 0x03AD,
SaveData[30], 0x0392,
SaveData[31], 0x03A2,
SaveData[32], 0x0394,
SaveData[33], 0x039D,
SaveData[34], 0x0392,
SaveData[35], 0x0392,
SaveData[36], 0x037D,
SaveData[37], 0x038C,
SaveData[38], 0x039A,
SaveData[39], 0x0386,
SaveData[40], 0x0376,
SaveData[41], 0x038C,
SaveData[42], 0x03A0,
SaveData[43], 0x0392,
SaveData[44], 0x03A4,
SaveData[45], 0x0395,
SaveData[46], 0x03AC,
SaveData[47], 0x0397,
SaveData[48], 0x03AE,
SaveData[49], 0x0396,
SaveData[50], 0x03A9,
SaveData[51], 0x0392,
SaveData[52], 0x03A0,
SaveData[53], 0x038C,
SaveData[54], 0x0398,
SaveData[55], 0x0390,
SaveData[56], 0x038C,
SaveData[57], 0x0392,
SaveData[58], 0x0388,
SaveData[59], 0x03A2,
SaveData[60], 0x038A,
SaveData[61], 0x03A0,
SaveData[62], 0x0390,
SaveData[63], 0x03AA,
SaveData[64], 0x0399,
SaveData[65], 0x03AB,
SaveData[66], 0x038B,
SaveData[67], 0x03AC,
SaveData[68], 0x0399,
SaveData[69], 0x03A8,
SaveData[70], 0x039A,
SaveData[71], 0x03A5,
SaveData[72], 0x0396,
SaveData[73], 0x039A,
SaveData[74], 0x0390,
SaveData[75], 0x0394,
SaveData[76], 0x0390,
SaveData[77], 0x038A,
SaveData[78], 0x039B,
SaveData[79], 0x0372,
SaveData[80], 0x039A,
SaveData[81], 0x0388,
SaveData[82], 0x03A6,
SaveData[83], 0x0388,
SaveData[84], 0x03A8,
SaveData[85], 0x0393,
SaveData[86], 0x03AC,
SaveData[87], 0x0396,
SaveData[88], 0x03A8,
SaveData[89], 0x0396,
SaveData[90], 0x03A4,
