SaveData[0], 0x0342,
SaveData[1], 0x0343,
SaveData[2], 0x0341,
SaveData[3], 0x0343,
SaveData[4], 0x0347,
SaveData[5], 0x033D,
SaveData[6], 0x0345,
SaveData[7], 0x0345,
SaveData[8], 0x0341,
SaveData[9], 0x0343,
SaveData[10], 0x0342,
SaveData[11], 0x0341,
SaveData[12], 0x0347,
SaveData[13], 0x0340,
SaveData[14], 0x0343,
SaveData[15], 0x0341,
SaveData[16], 0x0345,
SaveData[17], 0x0343,
SaveData[18], 0x033F,
SaveData[19], 0x0345,
SaveData[20], 0x0345,
SaveData[21], 0x033F,
SaveData[22], 0x0345,
SaveData[23], 0x0341,
SaveData[24], 0x0347,
SaveData[25], 0x033F,
SaveData[26], 0x033F,
SaveData[27], 0x0342,
SaveData[28], 0x0345,
SaveData[29], 0x033F,
SaveData[30], 0x0345,
SaveData[31], 0x0343,
SaveData[32], 0x0345,
SaveData[33], 0x0347,
SaveData[34], 0x0341,
SaveData[35], 0x0345,
SaveData[36], 0x0345,
SaveData[37], 0x033F,
SaveData[38], 0x0347,
SaveData[39], 0x0341,
SaveData[40], 0x0341,
SaveData[41], 0x0347,
SaveData[42], 0x0343,
SaveData[43], 0x0343,
SaveData[44], 0x0344,
SaveData[45], 0x0343,
SaveData[46], 0x0341,
SaveData[47], 0x0341,
SaveData[48], 0x0345,
SaveData[49], 0x0345,
SaveData[50], 0x0343,
SaveData[51], 0x0347,
SaveData[52], 0x0345,
SaveData[53], 0x0345,
SaveData[54], 0x034A,
SaveData[55], 0x0341,
SaveData[56], 0x0344,
SaveData[57], 0x034A,
SaveData[58], 0x0345,
SaveData[59], 0x0348,
SaveData[60], 0x034A,
SaveData[61], 0x0348,
SaveData[62], 0x0341,
SaveData[63], 0x0345,
SaveData[64], 0x0347,
SaveData[65], 0x0347,
SaveData[66], 0x0347,
SaveData[67], 0x034B,
SaveData[68], 0x0348,
SaveData[69], 0x0347,
SaveData[70], 0x034D,
SaveData[71], 0x0343,
SaveData[72], 0x0348,
SaveData[73], 0x034C,
SaveData[74], 0x0347,
SaveData[75], 0x034A,
SaveData[76], 0x0349,
SaveData[77], 0x034B,
SaveData[78], 0x034D,
SaveData[79], 0x0349,
SaveData[80], 0x034D,
SaveData[81], 0x034B,
SaveData[82], 0x034F,
SaveData[83], 0x034D,
SaveData[84], 0x0349,
SaveData[85], 0x034F,
SaveData[86], 0x034F,
SaveData[87], 0x0347,
SaveData[88], 0x034D,
SaveData[89], 0x0350,
SaveData[90], 0x034D,
SaveData[91], 0x0352,
SaveData[92], 0x034F,
SaveData[93], 0x0351,
SaveData[94], 0x0355,
SaveData[95], 0x0350,
SaveData[96], 0x0351,
SaveData[97], 0x0354,
SaveData[98], 0x0353,
SaveData[99], 0x0355,
SaveData[100], 0x0351,
SaveData[101], 0x0353,
SaveData[102], 0x0355,
SaveData[103], 0x034F,
SaveData[104], 0x0355,
SaveData[105], 0x0356,
SaveData[106], 0x0357,
SaveData[107], 0x0356,
SaveData[108], 0x0354,
SaveData[109], 0x0355,
SaveData[110], 0x0359,
SaveData[111], 0x0357,
SaveData[112], 0x035A,
SaveData[113], 0x0359,
SaveData[114], 0x035B,
SaveData[115], 0x035D,
SaveData[116], 0x035A,
SaveData[117], 0x035E,
SaveData[118], 0x0361,
SaveData[119], 0x035B,
SaveData[120], 0x0361,
SaveData[121], 0x035D,
SaveData[122], 0x035F,
SaveData[123], 0x0361,
SaveData[124], 0x035D,
SaveData[125], 0x0360,
SaveData[126], 0x035F,
SaveData[127], 0x0361,
SaveData[128], 0x0363,
SaveData[129], 0x0364,
SaveData[130], 0x0363,
SaveData[131], 0x0365,
SaveData[132], 0x0363,
SaveData[133], 0x0363,
SaveData[134], 0x0365,
SaveData[135], 0x0366,
SaveData[136], 0x0367,
SaveData[137], 0x0360,
SaveData[138], 0x0369,
SaveData[139], 0x036B,
SaveData[140], 0x0365,
SaveData[141], 0x0367,
SaveData[142], 0x036B,
SaveData[143], 0x036C,
SaveData[144], 0x036F,
SaveData[145], 0x0369,
SaveData[146], 0x036E,
SaveData[147], 0x0370,
SaveData[148], 0x036F,
SaveData[149], 0x036F,
SaveData[150], 0x036F,
SaveData[151], 0x0371,
SaveData[152], 0x0373,
SaveData[153], 0x0370,
SaveData[154], 0x0371,
SaveData[155], 0x0375,
