SaveData[0], 0x043C,
SaveData[1], 0x0442,
SaveData[2], 0x043C,
SaveData[3], 0x0440,
SaveData[4], 0x043C,
SaveData[5], 0x0443,
SaveData[6], 0x043C,
SaveData[7], 0x043E,
SaveData[8], 0x0440,
SaveData[9], 0x0442,
SaveData[10], 0x043A,
SaveData[11], 0x0440,
SaveData[12], 0x043C,
SaveData[13], 0x0442,
SaveData[14], 0x043A,
SaveData[15], 0x0440,
SaveData[16], 0x043E,
SaveData[17], 0x0444,
SaveData[18], 0x043A,
SaveData[19], 0x0440,
SaveData[20], 0x043C,
SaveData[21], 0x0440,
SaveData[22], 0x043C,
SaveData[23], 0x043E,
SaveData[24], 0x043E,
SaveData[25], 0x0442,
SaveData[26], 0x043C,
SaveData[27], 0x043E,
SaveData[28], 0x043C,
SaveData[29], 0x0440,
SaveData[30], 0x043C,
SaveData[31], 0x0440,
SaveData[32], 0x0440,
SaveData[33], 0x0442,
SaveData[34], 0x043C,
SaveData[35], 0x0442,
SaveData[36], 0x043C,
SaveData[37], 0x0440,
SaveData[38], 0x0440,
SaveData[39], 0x043E,
SaveData[40], 0x043E,
SaveData[41], 0x0440,
SaveData[42], 0x043E,
SaveData[43], 0x043E,
SaveData[44], 0x043E,
SaveData[45], 0x0442,
SaveData[46], 0x043E,
SaveData[47], 0x043E,
SaveData[48], 0x043E,
SaveData[49], 0x0442,
SaveData[50], 0x043A,
SaveData[51], 0x0444,
SaveData[52], 0x043A,
SaveData[53], 0x0444,
SaveData[54], 0x0440,
SaveData[55], 0x043E,
SaveData[56], 0x043E,
SaveData[57], 0x0444,
SaveData[58], 0x043E,
SaveData[59], 0x0442,
SaveData[60], 0x043C,
SaveData[61], 0x0440,
SaveData[62], 0x0442,
SaveData[63], 0x0436,
SaveData[64], 0x043D,
SaveData[65], 0x0442,
SaveData[66], 0x043A,
SaveData[67], 0x0440,
SaveData[68], 0x043B,
SaveData[69], 0x043E,
SaveData[70], 0x0441,
SaveData[71], 0x043E,
SaveData[72], 0x043E,
SaveData[73], 0x0442,
SaveData[74], 0x043E,
SaveData[75], 0x0440,
SaveData[76], 0x043C,
SaveData[77], 0x0442,
SaveData[78], 0x043D,
SaveData[79], 0x0438,
SaveData[80], 0x043E,
SaveData[81], 0x0442,
SaveData[82], 0x043C,
SaveData[83], 0x0442,
SaveData[84], 0x043A,
SaveData[85], 0x0440,
SaveData[86], 0x0440,
SaveData[87], 0x043E,
SaveData[88], 0x043C,
SaveData[89], 0x0440,
SaveData[90], 0x043D,
SaveData[91], 0x043D,
SaveData[92], 0x043C,
SaveData[93], 0x0442,
SaveData[94], 0x043E,
SaveData[95], 0x0439,
SaveData[96], 0x043F,
SaveData[97], 0x0443,
SaveData[98], 0x043E,
SaveData[99], 0x0441,
SaveData[100], 0x043D,
SaveData[101], 0x0442,
SaveData[102], 0x0441,
SaveData[103], 0x0440,
SaveData[104], 0x043E,
SaveData[105], 0x0442,
SaveData[106], 0x043E,
SaveData[107], 0x043E,
SaveData[108], 0x043C,
SaveData[109], 0x0442,
SaveData[110], 0x0441,
SaveData[111], 0x043E,
SaveData[112], 0x043E,
SaveData[113], 0x0440,
SaveData[114], 0x043E,
SaveData[115], 0x043F,
SaveData[116], 0x043C,
SaveData[117], 0x0440,
SaveData[118], 0x043D,
SaveData[119], 0x043C,
SaveData[120], 0x0440,
SaveData[121], 0x0440,
SaveData[122], 0x043F,
SaveData[123], 0x0441,
SaveData[124], 0x0439,
SaveData[125], 0x0441,
SaveData[126], 0x0440,
SaveData[127], 0x0441,
SaveData[128], 0x043E,
SaveData[129], 0x043F,
SaveData[130], 0x043D,
SaveData[131], 0x0443,
SaveData[132], 0x043B,
SaveData[133], 0x0440,
SaveData[134], 0x043E,
SaveData[135], 0x043D,
SaveData[136], 0x043F,
SaveData[137], 0x0441,
SaveData[138], 0x043F,
SaveData[139], 0x043F,
SaveData[140], 0x0437,
SaveData[141], 0x0441,
SaveData[142], 0x043D,
SaveData[143], 0x0440,
SaveData[144], 0x043D,
SaveData[145], 0x0442,
