SaveData[0], 0x043A,
SaveData[1], 0x0440,
SaveData[2], 0x0438,
SaveData[3], 0x043C,
SaveData[4], 0x043E,
SaveData[5], 0x043E,
SaveData[6], 0x043A,
SaveData[7], 0x043E,
SaveData[8], 0x043B,
SaveData[9], 0x043E,
SaveData[10], 0x043E,
SaveData[11], 0x043E,
SaveData[12], 0x043D,
SaveData[13], 0x043A,
SaveData[14], 0x043E,
SaveData[15], 0x043F,
SaveData[16], 0x0436,
SaveData[17], 0x0440,
SaveData[18], 0x0438,
SaveData[19], 0x043F,
SaveData[20], 0x043C,
SaveData[21], 0x043A,
SaveData[22], 0x043A,
SaveData[23], 0x0440,
SaveData[24], 0x043B,
SaveData[25], 0x043E,
SaveData[26], 0x0434,
SaveData[27], 0x043E,
SaveData[28], 0x043E,
SaveData[29], 0x0438,
SaveData[30], 0x043A,
SaveData[31], 0x043F,
SaveData[32], 0x0438,
SaveData[33], 0x043E,
SaveData[34], 0x043A,
SaveData[35], 0x043E,
SaveData[36], 0x043E,
SaveData[37], 0x043E,
SaveData[38], 0x043A,
SaveData[39], 0x0442,
SaveData[40], 0x043B,
SaveData[41], 0x043E,
SaveData[42], 0x0436,
SaveData[43], 0x043C,
SaveData[44], 0x043C,
SaveData[45], 0x0438,
SaveData[46], 0x043C,
SaveData[47], 0x0440,
SaveData[48], 0x0438,
SaveData[49], 0x043F,
SaveData[50], 0x0436,
SaveData[51], 0x043A,
SaveData[52], 0x043E,
SaveData[53], 0x0436,
SaveData[54], 0x0438,
SaveData[55], 0x043E,
SaveData[56], 0x043C,
SaveData[57], 0x043F,
SaveData[58], 0x0438,
SaveData[59], 0x0440,
SaveData[60], 0x043C,
SaveData[61], 0x043B,
SaveData[62], 0x043A,
SaveData[63], 0x043E,
SaveData[64], 0x043A,
SaveData[65], 0x043F,
SaveData[66], 0x0437,
SaveData[67], 0x043C,
SaveData[68], 0x043C,
SaveData[69], 0x043D,
SaveData[70], 0x043B,
SaveData[71], 0x043F,
SaveData[72], 0x043C,
SaveData[73], 0x043B,
SaveData[74], 0x0436,
SaveData[75], 0x043F,
SaveData[76], 0x043E,
SaveData[77], 0x043D,
SaveData[78], 0x0437,
SaveData[79], 0x043F,
SaveData[80], 0x0437,
SaveData[81], 0x0441,
SaveData[82], 0x0439,
SaveData[83], 0x043C,
SaveData[84], 0x043D,
SaveData[85], 0x043F,
SaveData[86], 0x043B,
SaveData[87], 0x043D,
SaveData[88], 0x0439,
SaveData[89], 0x043F,
SaveData[90], 0x0437,
SaveData[91], 0x043B,
SaveData[92], 0x043F,
SaveData[93], 0x043B,
SaveData[94], 0x0439,
SaveData[95], 0x043F,
SaveData[96], 0x043B,
SaveData[97], 0x0441,
SaveData[98], 0x0437,
SaveData[99], 0x0439,
SaveData[100], 0x043F,
SaveData[101], 0x043B,
SaveData[102], 0x043B,
SaveData[103], 0x043F,
SaveData[104], 0x043B,
SaveData[105], 0x043F,
SaveData[106], 0x0437,
SaveData[107], 0x043B,
SaveData[108], 0x043B,
SaveData[109], 0x043F,
SaveData[110], 0x0439,
SaveData[111], 0x043F,
SaveData[112], 0x043D,
SaveData[113], 0x043F,
SaveData[114], 0x0437,
SaveData[115], 0x043F,
SaveData[116], 0x043F,
SaveData[117], 0x0439,
SaveData[118], 0x043B,
SaveData[119], 0x043D,
SaveData[120], 0x0439,
SaveData[121], 0x043F,
SaveData[122], 0x043B,
SaveData[123], 0x043B,
SaveData[124], 0x043B,
SaveData[125], 0x043D,
SaveData[126], 0x0439,
SaveData[127], 0x043D,
SaveData[128], 0x0439,
SaveData[129], 0x043D,
SaveData[130], 0x0439,
SaveData[131], 0x043D,
SaveData[132], 0x043D,
SaveData[133], 0x043B,
SaveData[134], 0x0437,
SaveData[135], 0x043F,
SaveData[136], 0x043B,
SaveData[137], 0x043F,
SaveData[138], 0x0437,
SaveData[139], 0x043F,
SaveData[140], 0x043F,
SaveData[141], 0x0439,
SaveData[142], 0x0439,
SaveData[143], 0x043B,
SaveData[144], 0x0439,
SaveData[145], 0x0440,
SaveData[146], 0x0435,
SaveData[147], 0x043D,
SaveData[148], 0x043B,
SaveData[149], 0x043B,
SaveData[150], 0x043B,
SaveData[151], 0x043F,
SaveData[152], 0x043B,
SaveData[153], 0x0439,
SaveData[154], 0x0435,
SaveData[155], 0x043D,
SaveData[156], 0x043D,
SaveData[157], 0x043B,
SaveData[158], 0x043C,
SaveData[159], 0x043F,
SaveData[160], 0x043B,
SaveData[161], 0x0440,
SaveData[162], 0x0433,
SaveData[163], 0x043C,
SaveData[164], 0x043B,
SaveData[165], 0x043B,
SaveData[166], 0x0439,
SaveData[167], 0x043D,
SaveData[168], 0x0439,
SaveData[169], 0x0440,
SaveData[170], 0x0437,
SaveData[171], 0x0440,
SaveData[172], 0x043A,
SaveData[173], 0x0440,
SaveData[174], 0x0438,
SaveData[175], 0x043C,
SaveData[176], 0x0440,
SaveData[177], 0x043E,
SaveData[178], 0x0431,
SaveData[179], 0x0440,
SaveData[180], 0x0439,
SaveData[181], 0x0438,
SaveData[182], 0x0438,
SaveData[183], 0x0440,
SaveData[184], 0x043C,
SaveData[185], 0x0440,
SaveData[186], 0x043A,
SaveData[187], 0x043E,
SaveData[188], 0x043B,
SaveData[189], 0x043C,
SaveData[190], 0x043C,
SaveData[191], 0x043E,
SaveData[192], 0x043C,
SaveData[193], 0x0440,
SaveData[194], 0x0434,
SaveData[195], 0x0440,
SaveData[196], 0x043C,
SaveData[197], 0x043A,
SaveData[198], 0x043C,
SaveData[199], 0x043E,
SaveData[200], 0x043C,
SaveData[201], 0x0442,
SaveData[202], 0x0436,
SaveData[203], 0x043C,
SaveData[204], 0x043A,
SaveData[205], 0x043C,
SaveData[206], 0x043C,
SaveData[207], 0x043C,
SaveData[208], 0x0440,
SaveData[209], 0x0440,
SaveData[210], 0x0438,
SaveData[211], 0x0440,
SaveData[212], 0x043C,
SaveData[213], 0x0438,
SaveData[214], 0x043A,
SaveData[215], 0x043C,
SaveData[216], 0x043A,
SaveData[217], 0x0440,
SaveData[218], 0x0438,
SaveData[219], 0x043C,
SaveData[220], 0x043A,
SaveData[221], 0x043C,
SaveData[222], 0x043C,
SaveData[223], 0x043C,
SaveData[224], 0x043C,
SaveData[225], 0x0440,
SaveData[226], 0x0436,
SaveData[227], 0x043E,
SaveData[228], 0x043A,
SaveData[229], 0x043C,
SaveData[230], 0x0440,
SaveData[231], 0x043C,
SaveData[232], 0x0440,
SaveData[233], 0x0440,
SaveData[234], 0x0438,
SaveData[235], 0x0440,
SaveData[236], 0x043C,
SaveData[237], 0x043C,
SaveData[238], 0x043A,
SaveData[239], 0x043E,
SaveData[240], 0x043A,
SaveData[241], 0x0440,
SaveData[242], 0x0434,
SaveData[243], 0x0440,
SaveData[244], 0x043C,
SaveData[245], 0x043C,
SaveData[246], 0x0438,
SaveData[247], 0x043C,
SaveData[248], 0x043C,
SaveData[249], 0x0442,
SaveData[250], 0x0436,
SaveData[251], 0x043C,
SaveData[252], 0x043C,
SaveData[253], 0x0440,
SaveData[254], 0x043E,
SaveData[255], 0x043A,
SaveData[256], 0x043E,
SaveData[257], 0x0440,
SaveData[258], 0x0438,
SaveData[259], 0x0440,
SaveData[260], 0x043C,
SaveData[261], 0x043C,
SaveData[262], 0x043A,
SaveData[263], 0x043C,
SaveData[264], 0x043A,
SaveData[265], 0x0444,
SaveData[266], 0x0436,
SaveData[267], 0x043E,
SaveData[268], 0x043C,
SaveData[269], 0x043C,
SaveData[270], 0x0438,
SaveData[271], 0x043C,
SaveData[272], 0x0440,
SaveData[273], 0x043E,
SaveData[274], 0x0436,
SaveData[275], 0x043E,
SaveData[276], 0x043A,
SaveData[277], 0x043E,
SaveData[278], 0x043A,
SaveData[279], 0x043A,
SaveData[280], 0x043A,
SaveData[281], 0x0440,
SaveData[282], 0x0438,
SaveData[283], 0x0440,
SaveData[284], 0x0440,
SaveData[285], 0x043E,
SaveData[286], 0x0432,
SaveData[287], 0x043E,
SaveData[288], 0x0438,
SaveData[289], 0x043C,
SaveData[290], 0x0436,
SaveData[291], 0x043E,
SaveData[292], 0x043C,
