SaveData[0], 0x0C58,
SaveData[1], 0x0C58,
SaveData[2], 0x0C58,
SaveData[3], 0x0C57,
SaveData[4], 0x0C58,
SaveData[5], 0x0C5A,
SaveData[6], 0x0C58,
SaveData[7], 0x0C58,
SaveData[8], 0x0C58,
SaveData[9], 0x0C59,
SaveData[10], 0x0C58,
SaveData[11], 0x0C57,
SaveData[12], 0x0C58,
SaveData[13], 0x0C5B,
SaveData[14], 0x0C58,
SaveData[15], 0x0C59,
SaveData[16], 0x0C59,
SaveData[17], 0x0C58,
SaveData[18], 0x0C58,
SaveData[19], 0x0C57,
SaveData[20], 0x0C58,
SaveData[21], 0x0C58,
SaveData[22], 0x0C58,
SaveData[23], 0x0C59,
SaveData[24], 0x0C58,
SaveData[25], 0x0C5A,
SaveData[26], 0x0C58,
SaveData[27], 0x0C56,
SaveData[28], 0x0C58,
SaveData[29], 0x0C5A,
SaveData[30], 0x0C55,
SaveData[31], 0x0C59,
SaveData[32], 0x0C58,
SaveData[33], 0x0C59,
SaveData[34], 0x0C58,
SaveData[35], 0x0C57,
SaveData[36], 0x0C57,
SaveData[37], 0x0C59,
SaveData[38], 0x0C57,
SaveData[39], 0x0C59,
SaveData[40], 0x0C57,
SaveData[41], 0x0C59,
SaveData[42], 0x0C59,
SaveData[43], 0x0C57,
SaveData[44], 0x0C59,
SaveData[45], 0x0C5A,
SaveData[46], 0x0C57,
SaveData[47], 0x0C59,
SaveData[48], 0x0C58,
SaveData[49], 0x0C57,
SaveData[50], 0x0C59,
SaveData[51], 0x0C57,
SaveData[52], 0x0C59,
SaveData[53], 0x0C59,
SaveData[54], 0x0C58,
SaveData[55], 0x0C59,
SaveData[56], 0x0C58,
SaveData[57], 0x0C59,
SaveData[58], 0x0C58,
SaveData[59], 0x0C56,
SaveData[60], 0x0C59,
SaveData[61], 0x0C5B,
SaveData[62], 0x0C57,
SaveData[63], 0x0C59,
SaveData[64], 0x0C59,
SaveData[65], 0x0C57,
SaveData[66], 0x0C5A,
SaveData[67], 0x0C57,
SaveData[68], 0x0C58,
SaveData[69], 0x0C5A,
SaveData[70], 0x0C57,
SaveData[71], 0x0C59,
SaveData[72], 0x0C57,
SaveData[73], 0x0C59,
SaveData[74], 0x0C59,
SaveData[75], 0x0C57,
SaveData[76], 0x0C58,
SaveData[77], 0x0C59,
SaveData[78], 0x0C59,
SaveData[79], 0x0C59,
SaveData[80], 0x0C58,
SaveData[81], 0x0C58,
SaveData[82], 0x0C59,
SaveData[83], 0x0C57,
SaveData[84], 0x0C58,
SaveData[85], 0x0C58,
SaveData[86], 0x0C58,
SaveData[87], 0x0C59,
SaveData[88], 0x0C57,
SaveData[89], 0x0C59,
SaveData[90], 0x0C59,
SaveData[91], 0x0C57,
SaveData[92], 0x0C59,
SaveData[93], 0x0C5A,
SaveData[94], 0x0C57,
SaveData[95], 0x0C58,
SaveData[96], 0x0C58,
SaveData[97], 0x0C58,
SaveData[98], 0x0C5A,
SaveData[99], 0x0C58,
SaveData[100], 0x0C58,
SaveData[101], 0x0C5A,
SaveData[102], 0x0C58,
SaveData[103], 0x0C5A,
SaveData[104], 0x0C57,
SaveData[105], 0x0C59,
SaveData[106], 0x0C59,
SaveData[107], 0x0C56,
SaveData[108], 0x0C58,
SaveData[109], 0x0C59,
SaveData[110], 0x0C57,
SaveData[111], 0x0C5A,
SaveData[112], 0x0C57,
SaveData[113], 0x0C58,
SaveData[114], 0x0C5A,
SaveData[115], 0x0C57,
SaveData[116], 0x0C58,
SaveData[117], 0x0C59,
SaveData[118], 0x0C57,
SaveData[119], 0x0C58,
SaveData[120], 0x0C57,
SaveData[121], 0x0C59,
SaveData[122], 0x0C5A,
SaveData[123], 0x0C57,
SaveData[124], 0x0C59,
SaveData[125], 0x0C59,
SaveData[126], 0x0C57,
SaveData[127], 0x0C5A,
SaveData[128], 0x0C57,
SaveData[129], 0x0C57,
SaveData[130], 0x0C5A,
SaveData[131], 0x0C57,
SaveData[132], 0x0C58,
SaveData[133], 0x0C58,
SaveData[134], 0x0C58,
SaveData[135], 0x0C56,
SaveData[136], 0x0C57,
SaveData[137], 0x0C59,
SaveData[138], 0x0C5B,
SaveData[139], 0x0C55,
SaveData[140], 0x0C59,
SaveData[141], 0x0C59,
SaveData[142], 0x0C58,
SaveData[143], 0x0C5A,
SaveData[144], 0x0C57,
SaveData[145], 0x0C59,
SaveData[146], 0x0C59,
SaveData[147], 0x0C58,
SaveData[148], 0x0C59,
SaveData[149], 0x0C59,
SaveData[150], 0x0C58,
SaveData[151], 0x0C59,
SaveData[152], 0x0C57,
SaveData[153], 0x0C59,
SaveData[154], 0x0C5A,
