SaveData[0], 0x0C6B,
SaveData[1], 0x0C6D,
SaveData[2], 0x0C69,
SaveData[3], 0x0C6C,
SaveData[4], 0x0C6D,
SaveData[5], 0x0C6A,
SaveData[6], 0x0C6B,
SaveData[7], 0x0C6D,
SaveData[8], 0x0C6B,
SaveData[9], 0x0C6B,
SaveData[10], 0x0C6B,
SaveData[11], 0x0C6D,
SaveData[12], 0x0C6C,
SaveData[13], 0x0C6B,
SaveData[14], 0x0C6B,
SaveData[15], 0x0C6E,
SaveData[16], 0x0C6C,
SaveData[17], 0x0C6C,
SaveData[18], 0x0C68,
SaveData[19], 0x0C6D,
SaveData[20], 0x0C6C,
SaveData[21], 0x0C6B,
SaveData[22], 0x0C6B,
SaveData[23], 0x0C6C,
SaveData[24], 0x0C6A,
SaveData[25], 0x0C6D,
SaveData[26], 0x0C6A,
SaveData[27], 0x0C6C,
SaveData[28], 0x0C6C,
SaveData[29], 0x0C6B,
SaveData[30], 0x0C6B,
SaveData[31], 0x0C6D,
SaveData[32], 0x0C6C,
SaveData[33], 0x0C6C,
SaveData[34], 0x0C6A,
SaveData[35], 0x0C6E,
SaveData[36], 0x0C6C,
SaveData[37], 0x0C6A,
SaveData[38], 0x0C6B,
SaveData[39], 0x0C6D,
SaveData[40], 0x0C6B,
SaveData[41], 0x0C6D,
SaveData[42], 0x0C6A,
SaveData[43], 0x0C6D,
SaveData[44], 0x0C6C,
SaveData[45], 0x0C6B,
SaveData[46], 0x0C6B,
SaveData[47], 0x0C6E,
SaveData[48], 0x0C6B,
SaveData[49], 0x0C6D,
SaveData[50], 0x0C69,
SaveData[51], 0x0C6D,
SaveData[52], 0x0C6E,
SaveData[53], 0x0C6B,
SaveData[54], 0x0C6B,
SaveData[55], 0x0C6E,
SaveData[56], 0x0C6A,
SaveData[57], 0x0C6F,
SaveData[58], 0x0C6A,
SaveData[59], 0x0C6E,
SaveData[60], 0x0C6B,
SaveData[61], 0x0C6B,
SaveData[62], 0x0C6C,
SaveData[63], 0x0C6E,
SaveData[64], 0x0C6A,
SaveData[65], 0x0C6C,
SaveData[66], 0x0C69,
SaveData[67], 0x0C6D,
SaveData[68], 0x0C6C,
SaveData[69], 0x0C6B,
SaveData[70], 0x0C6B,
SaveData[71], 0x0C6E,
SaveData[72], 0x0C6A,
SaveData[73], 0x0C6E,
SaveData[74], 0x0C6A,
SaveData[75], 0x0C6D,
SaveData[76], 0x0C6C,
SaveData[77], 0x0C6B,
SaveData[78], 0x0C6B,
SaveData[79], 0x0C6E,
SaveData[80], 0x0C6A,
SaveData[81], 0x0C6C,
SaveData[82], 0x0C6B,
SaveData[83], 0x0C6C,
SaveData[84], 0x0C6C,
SaveData[85], 0x0C6B,
SaveData[86], 0x0C6B,
SaveData[87], 0x0C6E,
SaveData[88], 0x0C6B,
SaveData[89], 0x0C6C,
SaveData[90], 0x0C6A,
SaveData[91], 0x0C6B,
SaveData[92], 0x0C6D,
SaveData[93], 0x0C6B,
SaveData[94], 0x0C6A,
SaveData[95], 0x0C6E,
SaveData[96], 0x0C6B,
SaveData[97], 0x0C6B,
SaveData[98], 0x0C6A,
