SaveData[0], 0x043E,
SaveData[1], 0x043A,
SaveData[2], 0x043A,
SaveData[3], 0x0438,
SaveData[4], 0x043C,
SaveData[5], 0x043D,
SaveData[6], 0x043C,
SaveData[7], 0x0438,
SaveData[8], 0x043E,
SaveData[9], 0x043E,
SaveData[10], 0x043C,
SaveData[11], 0x043D,
SaveData[12], 0x043C,
SaveData[13], 0x043C,
SaveData[14], 0x0440,
SaveData[15], 0x0435,
SaveData[16], 0x043C,
SaveData[17], 0x043B,
SaveData[18], 0x0438,
SaveData[19], 0x0438,
SaveData[20], 0x043A,
SaveData[21], 0x043A,
SaveData[22], 0x0438,
SaveData[23], 0x0439,
SaveData[24], 0x043D,
SaveData[25], 0x043D,
SaveData[26], 0x043C,
SaveData[27], 0x043D,
SaveData[28], 0x043C,
SaveData[29], 0x0438,
SaveData[30], 0x043C,
SaveData[31], 0x0439,
SaveData[32], 0x043A,
SaveData[33], 0x043B,
SaveData[34], 0x043A,
SaveData[35], 0x0439,
SaveData[36], 0x043E,
SaveData[37], 0x043B,
SaveData[38], 0x043C,
SaveData[39], 0x0439,
SaveData[40], 0x043D,
SaveData[41], 0x043D,
SaveData[42], 0x0438,
SaveData[43], 0x043B,
SaveData[44], 0x043C,
SaveData[45], 0x0439,
SaveData[46], 0x043C,
SaveData[47], 0x0434,
SaveData[48], 0x043D,
SaveData[49], 0x043B,
SaveData[50], 0x0438,
SaveData[51], 0x0439,
SaveData[52], 0x0438,
SaveData[53], 0x043D,
SaveData[54], 0x043C,
SaveData[55], 0x0437,
SaveData[56], 0x043C,
SaveData[57], 0x0439,
SaveData[58], 0x043C,
SaveData[59], 0x0439,
SaveData[60], 0x043A,
SaveData[61], 0x0439,
SaveData[62], 0x043F,
SaveData[63], 0x0433,
SaveData[64], 0x043E,
SaveData[65], 0x043B,
SaveData[66], 0x0436,
SaveData[67], 0x0439,
SaveData[68], 0x043C,
SaveData[69], 0x043D,
SaveData[70], 0x043C,
SaveData[71], 0x0437,
SaveData[72], 0x043A,
SaveData[73], 0x043D,
SaveData[74], 0x0439,
SaveData[75], 0x0439,
SaveData[76], 0x0436,
SaveData[77], 0x043A,
SaveData[78], 0x043B,
SaveData[79], 0x0435,
SaveData[80], 0x043D,
SaveData[81], 0x043D,
SaveData[82], 0x0438,
SaveData[83], 0x043B,
SaveData[84], 0x0441,
SaveData[85], 0x0435,
SaveData[86], 0x043C,
SaveData[87], 0x0439,
SaveData[88], 0x043B,
SaveData[89], 0x0439,
SaveData[90], 0x0436,
SaveData[91], 0x043D,
SaveData[92], 0x043D,
SaveData[93], 0x0439,
SaveData[94], 0x043C,
SaveData[95], 0x0439,
SaveData[96], 0x043C,
SaveData[97], 0x043D,
SaveData[98], 0x0438,
SaveData[99], 0x043B,
SaveData[100], 0x043D,
SaveData[101], 0x043B,
SaveData[102], 0x043D,
SaveData[103], 0x0437,
SaveData[104], 0x0438,
SaveData[105], 0x043B,
SaveData[106], 0x0439,
SaveData[107], 0x043D,
SaveData[108], 0x043D,
SaveData[109], 0x0439,
SaveData[110], 0x043C,
SaveData[111], 0x0439,
SaveData[112], 0x043B,
SaveData[113], 0x043B,
SaveData[114], 0x0439,
SaveData[115], 0x043D,
SaveData[116], 0x043D,
SaveData[117], 0x043B,
SaveData[118], 0x043B,
SaveData[119], 0x0439,
SaveData[120], 0x043D,
SaveData[121], 0x043D,
SaveData[122], 0x0439,
SaveData[123], 0x043B,
SaveData[124], 0x043B,
SaveData[125], 0x043B,
SaveData[126], 0x043F,
SaveData[127], 0x0439,
SaveData[128], 0x043D,
SaveData[129], 0x043D,
SaveData[130], 0x0439,
SaveData[131], 0x0439,
SaveData[132], 0x043D,
SaveData[133], 0x0439,
SaveData[134], 0x0441,
SaveData[135], 0x0437,
SaveData[136], 0x043B,
SaveData[137], 0x043B,
SaveData[138], 0x0437,
SaveData[139], 0x043D,
SaveData[140], 0x043D,
SaveData[141], 0x0439,
SaveData[142], 0x043D,
SaveData[143], 0x0437,
SaveData[144], 0x043B,
SaveData[145], 0x043B,
SaveData[146], 0x0437,
SaveData[147], 0x0439,
SaveData[148], 0x043D,
SaveData[149], 0x0437,
SaveData[150], 0x043D,
SaveData[151], 0x0437,
SaveData[152], 0x0439,
SaveData[153], 0x0439,
SaveData[154], 0x043D,
SaveData[155], 0x0437,
SaveData[156], 0x043D,
SaveData[157], 0x0438,
SaveData[158], 0x043D,
SaveData[159], 0x0439,
SaveData[160], 0x043D,
SaveData[161], 0x043D,
SaveData[162], 0x0439,
SaveData[163], 0x0437,
SaveData[164], 0x043B,
SaveData[165], 0x0439,
SaveData[166], 0x043D,
SaveData[167], 0x0437,
SaveData[168], 0x043B,
SaveData[169], 0x043A,
SaveData[170], 0x0439,
SaveData[171], 0x0439,
SaveData[172], 0x043D,
SaveData[173], 0x0439,
SaveData[174], 0x043D,
SaveData[175], 0x0437,
SaveData[176], 0x043D,
SaveData[177], 0x043B,
SaveData[178], 0x0437,
SaveData[179], 0x0439,
SaveData[180], 0x043B,
SaveData[181], 0x0439,
SaveData[182], 0x0437,
SaveData[183], 0x0435,
SaveData[184], 0x043D,
SaveData[185], 0x043D,
SaveData[186], 0x043D,
SaveData[187], 0x0437,
SaveData[188], 0x043B,
SaveData[189], 0x0439,
SaveData[190], 0x043B,
SaveData[191], 0x0436,
SaveData[192], 0x043D,
SaveData[193], 0x0439,
SaveData[194], 0x0439,
SaveData[195], 0x043E,
SaveData[196], 0x043B,
SaveData[197], 0x043B,
SaveData[198], 0x0439,
SaveData[199], 0x0435,
SaveData[200], 0x043D,
SaveData[201], 0x0439,
SaveData[202], 0x043B,
SaveData[203], 0x0439,
SaveData[204], 0x043D,
SaveData[205], 0x0439,
SaveData[206], 0x043D,
SaveData[207], 0x0433,
SaveData[208], 0x043D,
SaveData[209], 0x043D,
SaveData[210], 0x0439,
SaveData[211], 0x0438,
SaveData[212], 0x043B,
SaveData[213], 0x0438,
SaveData[214], 0x043E,
SaveData[215], 0x043A,
SaveData[216], 0x043E,
SaveData[217], 0x0435,
SaveData[218], 0x0439,
SaveData[219], 0x043C,
SaveData[220], 0x043D,
SaveData[221], 0x0438,
SaveData[222], 0x043E,
SaveData[223], 0x0434,
SaveData[224], 0x0440,
SaveData[225], 0x043C,
SaveData[226], 0x0439,
SaveData[227], 0x043A,
SaveData[228], 0x043D,
SaveData[229], 0x043A,
SaveData[230], 0x0442,
SaveData[231], 0x0438,
SaveData[232], 0x043C,
SaveData[233], 0x043C,
SaveData[234], 0x0439,
SaveData[235], 0x043A,
SaveData[236], 0x0439,
SaveData[237], 0x0438,
SaveData[238], 0x043F,
SaveData[239], 0x0438,
SaveData[240], 0x043E,
SaveData[241], 0x043C,
