SaveData[0], 0x0C7D,
SaveData[1], 0x0C80,
SaveData[2], 0x0C7C,
SaveData[3], 0x0C7F,
SaveData[4], 0x0C7D,
SaveData[5], 0x0C7D,
SaveData[6], 0x0C7E,
SaveData[7], 0x0C7B,
SaveData[8], 0x0C7D,
SaveData[9], 0x0C81,
SaveData[10], 0x0C7A,
SaveData[11], 0x0C7D,
SaveData[12], 0x0C7D,
SaveData[13], 0x0C7D,
SaveData[14], 0x0C7D,
SaveData[15], 0x0C7F,
SaveData[16], 0x0C7D,
SaveData[17], 0x0C80,
SaveData[18], 0x0C7C,
SaveData[19], 0x0C7F,
SaveData[20], 0x0C7C,
SaveData[21], 0x0C7E,
SaveData[22], 0x0C7F,
SaveData[23], 0x0C7F,
SaveData[24], 0x0C7D,
SaveData[25], 0x0C80,
SaveData[26], 0x0C7A,
SaveData[27], 0x0C7E,
SaveData[28], 0x0C7E,
SaveData[29], 0x0C7D,
SaveData[30], 0x0C7E,
SaveData[31], 0x0C7E,
SaveData[32], 0x0C7E,
SaveData[33], 0x0C82,
SaveData[34], 0x0C7B,
SaveData[35], 0x0C7F,
SaveData[36], 0x0C7C,
SaveData[37], 0x0C7F,
SaveData[38], 0x0C7E,
SaveData[39], 0x0C7E,
SaveData[40], 0x0C7C,
SaveData[41], 0x0C80,
SaveData[42], 0x0C7C,
SaveData[43], 0x0C7F,
SaveData[44], 0x0C7D,
SaveData[45], 0x0C7F,
SaveData[46], 0x0C7E,
SaveData[47], 0x0C7E,
SaveData[48], 0x0C7D,
SaveData[49], 0x0C80,
SaveData[50], 0x0C7B,
SaveData[51], 0x0C80,
SaveData[52], 0x0C7D,
SaveData[53], 0x0C7F,
SaveData[54], 0x0C7C,
SaveData[55], 0x0C7D,
SaveData[56], 0x0C7E,
SaveData[57], 0x0C7F,
SaveData[58], 0x0C7C,
SaveData[59], 0x0C80,
SaveData[60], 0x0C7D,
SaveData[61], 0x0C7F,
SaveData[62], 0x0C80,
SaveData[63], 0x0C7D,
SaveData[64], 0x0C7B,
SaveData[65], 0x0C80,
SaveData[66], 0x0C7C,
SaveData[67], 0x0C7E,
SaveData[68], 0x0C7D,
SaveData[69], 0x0C7F,
SaveData[70], 0x0C7D,
SaveData[71], 0x0C7D,
SaveData[72], 0x0C7F,
SaveData[73], 0x0C80,
SaveData[74], 0x0C7C,
SaveData[75], 0x0C80,
SaveData[76], 0x0C7C,
SaveData[77], 0x0C7F,
SaveData[78], 0x0C7E,
SaveData[79], 0x0C7D,
SaveData[80], 0x0C7C,
